UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}
UI_20150317_000047	{@st41}解約
UI_20150317_000048	{@st43}黑市{/}
UI_20150317_000049	書名
UI_20150317_000050	{@st59}停止閱讀。{/}
UI_20150317_000051	{@st59}上一頁{/}
UI_20150317_000052	{@st59}下一頁{/}
UI_20150317_000053	{@st47}%s 登場！！
UI_20150317_000054	{@st43}分數{/}
UI_20150317_000055	所受傷害
UI_20150317_000056	技術紅利
UI_20150317_000057	迴避紅利
UI_20150317_000058	通過時間
UI_20150317_000059	總分
UI_20150317_000060	{@st42}經過時間
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{memo X}{@st44}結束
UI_20150317_000064	{@st59}關閉自動販賣機。{/}
UI_20150317_000065	{@st43}BUFF自動販賣機
UI_20150317_000066	自動販賣機名稱
UI_20150317_000067	{memo X}{@st43}登錄
UI_20150317_000068	{memo X}{@st43}取消
UI_20150317_000069	BUFF自動販賣機
UI_20150317_000070	{@st59}關閉BUFF自動販賣機。
UI_20150317_000071	{@st59}BUFF自動販賣機{nl} - 支付銀幣後該玩家即可獲得BUFF效果。
UI_20150317_000072	馬車選單
UI_20150317_000073	{ol}{s22}下車{/}
UI_20150317_000074	挑選
UI_20150317_000075	{@st43}遊戲設定{/}
UI_20150317_000076	{@st64}請輸入方向鍵並選擇儲存格！
UI_20150317_000077	{@st43}轉職情報{/}
UI_20150317_000078	{@st43}選擇職業
UI_20150317_000079	意志力
UI_20150317_000080	{@st42}%s 階{/}
UI_20150317_000081	幾階
UI_20150317_000082	此處會顯示職業簡單的說明。
UI_20150317_000083	{@st41b}攻擊力 {@sti7}%s{/}
UI_20150317_000084	{@st41b}輔助    {@sti7}%s{/}
UI_20150317_000085	{@st41b}難易度 {@sti7}%s{/}
UI_20150317_000086	{@st59}關閉職業資訊視窗。{/}
UI_20150317_000087	可轉職通知
UI_20150317_000088	{@st43}轉職
UI_20150317_000089	{@sti7}{s14}角色{/}
UI_20150317_000090	{@sti8}{s14}職業{/}
UI_20150317_000091	{@st44}聊天{/}
UI_20150317_000092	To. WWWWWWWW 之外 1
UI_20150317_000093	一般：/s 內容{nl}大喊：/y 內容{nl}組隊：/p 內容{nl}密語：/w 角色名稱 內容
UI_20150317_000094	{@st41}一般對話{/}
UI_20150317_000095	{@59}結束{/}
UI_20150317_000096	{@59}邀請{/}
UI_20150317_000097	{@st59}全體{/}
UI_20150317_000098	{@st59}一般  (/s 內容){/}
UI_20150317_000099	{@st59}大喊  (/y 內容){/}
UI_20150317_000100	{@st59}組隊  (/p 內容){/}
UI_20150317_000101	{@st59}密語   (/w 隊伍名稱 內容){/}
UI_20150317_000102	{@st59}調節聊天視窗尺寸{/}
UI_20150317_000103	{@st43}{s22}聊天指令{/}
UI_20150317_000104	{@st43}指令{/}
UI_20150317_000105	{@st59b}指令{nl}{@st59s} - 使用方法：{nl} 1. 將上方的動作圖示登錄在下方的動作欄位上。{nl} 2. 輸入句子後儲存。{nl} 3. 使用該快捷鍵，對話和動作同時出現。{/}
UI_20150317_000106	{@st59}關閉指令。{/}
UI_20150317_000107	{@st41b}儲存{/}
UI_20150317_000108	{@st59}儲存登錄的內容。{/}
UI_20150317_000109	{@st41b}取消{/}
UI_20150317_000110	{@st59}取消登錄的內容。{/}
UI_20150317_000111	{@st42}聊天設定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	顯示對話框
UI_20150317_000114	畫面上方顯示大喊內容
UI_20150317_000115	{@st43}指令清單{/}
UI_20150317_000116	{@st42b}  道具  {/}
UI_20150317_000117	{@st42b}  怪物  {/}
UI_20150317_000118	{@st42b}  地圖移動  {/}
UI_20150317_000119	{@st42b}  戰鬥命令  {/}
UI_20150317_000120	{@st41b}關閉{/}
UI_20150317_000121	{s16}{b}透過雙點擊或是生成按鍵，可以生出道具。
UI_20150317_000122	{s16}{b}個
UI_20150317_000123	{s16}{b}等級
UI_20150317_000124	{@st41b}檢索{/}
UI_20150317_000125	{s16}{b}透過雙點擊或是生成按鍵，可以召喚怪物。
UI_20150317_000126	{s16}{b}隻
UI_20150317_000127	{s16}{b}請選擇想要的地區。
UI_20150317_000128	{s18}{b}查看迷你地圖{/}
UI_20150317_000129	{@st41b}工具清單{/}
UI_20150317_000130	{@st59b}圖鑑{nl}{@st59s} - 取得遊戲內的圖鑑卡片組就可以收集該道具。{nl} - 使用圖鑑卡片組道具時，圖鑑快捷鍵會活性化。{nl}{/}
UI_20150317_000131	{@st59}關閉圖鑑情報。{/}
UI_20150317_000132	{@st43}圖鑑{/}
UI_20150317_000133	{@st43}顏色噴槍{/}
UI_20150317_000134	{@st49}顏色噴槍{/}
UI_20150317_000135	{@st49}顏色{/}
UI_20150317_000136	{@st49}殘量{/}
UI_20150317_000137	{@st49}刷筆{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}繪圖{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}儲存{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}輸入{/}{/}
UI_20150317_000141	{@st49}關閉{/}
UI_20150317_000142	{@st43}領養寵物
UI_20150317_000143	{@st59}請輸入要領養的寵物名字。{/}
UI_20150317_000144	{@st41b}名字{/}
UI_20150317_000145	{@st41b}價格     %s{/}
UI_20150317_000146	{@st59}關閉寵物領養視窗。{/}
UI_20150317_000147	{@st41b}領養
UI_20150317_000148	{@st59}決定要領養的寵物。{/}
UI_20150317_000149	{@st43}寵物商店
UI_20150317_000150	{@st59}關閉寵物商店。{/}
UI_20150317_000151	{@st43}其他角色情報{/} {@st42}
UI_20150317_000152	{@st59}關閉角色情報。{/}
UI_20150317_000153	{@st41b}情報
UI_20150317_000154	{@st41b}記錄
UI_20150317_000155	隊伍名稱
UI_20150317_000156	角色名稱
UI_20150317_000157	{#ffff00}%s{/}名次 %s {#ffff00}%s{/}等級
UI_20150317_000158	젼샤
UI_20150317_000159	冒險指數 {#ffff00}%s{/} ({#ffff00}%s{/}名/%s)
UI_20150317_000160	冒險指數 {#ffff00}%s{/} ({#ffff00}Unranked{/})
UI_20150317_000161	成就達成 {#ffff00}%s{/}個
UI_20150317_000162	設定
UI_20150317_000163	當清除並確認分頁標題時，分頁會被刪除。
UI_20150317_000164	{@st49}全體{/}
UI_20150317_000165	{@st49}系統{/}
UI_20150317_000166	{@st49}對話{/}
UI_20150317_000167	{@st49}戰鬥{/}
UI_20150317_000168	{@st49}道具{/}
UI_20150317_000169	{@st43}製作團隊{/}
UI_20150317_000170	{@st43}固定目標設定中{/}
UI_20150317_000171	NPC名稱
UI_20150317_000172	比較
UI_20150317_000173	插圖
UI_20150317_000174	選擇對話
UI_20150317_000175	Text Help
UI_20150317_000176	{@st41}道具製造{/}
UI_20150317_000177	{@st45tw2}道具製作中…
UI_20150317_000178	%r 秒
UI_20150317_000179	{@st41}取消{/}
UI_20150317_000180	{@st45tw2}數量 {/}
UI_20150317_000181	{@st45tw2}您要製作道具嗎？
UI_20150317_000182	{@st41}決定{/}
UI_20150317_000183	任務情報
UI_20150317_000184	{@st59}取消交易。{/}
UI_20150317_000185	{@st43}個人交易{/}
UI_20150317_000186	我的交易目錄
UI_20150317_000187	銀幣：%s
UI_20150317_000188	輸入
UI_20150317_000189	{@st41}接受
UI_20150317_000190	{@st41}最終確認
UI_20150317_000191	對方(%s) 交易目錄
UI_20150317_000192	對方名稱
UI_20150317_000193	{s18}{ol}{gr gradation1}野外活動{/}
UI_20150317_000194	{s20}{ol}擊退布貝族！您要參加嗎？
UI_20150317_000195	{s20}{ol}%s 您要參加嗎？
UI_20150317_000196	{s20}{ol}參加人數：(1/5)
UI_20150317_000197	{s20}{ol}參加人數：(%s/%s)
UI_20150317_000198	{s20}{ol}1秒後遊戲開始。
UI_20150317_000199	{s20}{ol}%s秒後遊戲開始。
UI_20150317_000200	今日不再顯示。
UI_20150317_000201	不查看野外活動。
UI_20150317_000202	參與遊戲
UI_20150317_000203	和玩家們開始進行遊戲。
UI_20150317_000204	不參與遊戲。
UI_20150317_000205	預設噴槍
UI_20150317_000206	{@st49}選擇{/}
UI_20150317_000207	{@st49}取消{/}
UI_20150317_000208	{@st49}刪除{/}
UI_20150317_000209	請輸入要儲存檔案的名稱。
UI_20150317_000210	{@st43}好友
UI_20150317_000211	{@st59}關閉好友目錄。{/}
UI_20150317_000212	{@st59b}好友{nl}{@st59s} - 好友關係是創建在帳號之間{nl} - 在目錄分頁可確認/刪除好友們的狀態{nl} - 在管理分頁確認邀請、拒絕、封鎖等內容{/}
UI_20150317_000213	{@st41b}只顯示連線的好友{/}
UI_20150317_000214	{@st41b}目錄
UI_20150317_000215	{@st41b}管理
UI_20150317_000216	{@st41b}好友申請
UI_20150317_000217	{@st41b}封鎖
UI_20150317_000218	{@st59}檢索{/}
UI_20150317_000219	{@st44}公會{/}
UI_20150317_000220	公會
UI_20150317_000221	名單
UI_20150317_000222	新消息
UI_20150317_000223	公會任務
UI_20150317_000224	連線中的成員人數
UI_20150317_000225	{@st44}創建公會{/}
UI_20150317_000226	{@st42}創建{/}
UI_20150317_000227	{@st42}關閉{/}
UI_20150317_000228	{@st42}全體/}
UI_20150317_000229	{@st42}今日排名{/}
UI_20150317_000230	{@st42}週排名{/}
UI_20150317_000231	{@st56}順位{/}
UI_20150317_000232	{@st56}分數{/}
UI_20150317_000233	{@st56}職業{/}
UI_20150317_000234	{@st56}名字{/}
UI_20150317_000235	上一頁
UI_20150317_000236	下一頁
UI_20150317_000237	{@st42}ID 檢索{/}
UI_20150317_000238	檢索輸入的 ID。
UI_20150317_000239	關閉名譽殿堂。
UI_20150317_000240	輸入要檢索的 ID。
UI_20150317_000241	{@st59}耐力{/}
UI_20150317_000242	{@st43}小幫手目錄{/}
UI_20150317_000243	{@st59}關閉小幫手目錄視窗。{/}
UI_20150317_000244	{@st59b}小幫手目錄{nl}{@st59s} - 可在目錄上再次確認讀取過的小幫手內容。{nl} - 選擇想要確認的項目並詳細查看。{/}
UI_20150317_000245	{@st43}{s22}小幫手{/}
UI_20150317_000246	{@st47_b}{b}小幫手標題{/}
UI_20150317_000247	{@st42b}簡單小幫手內容{/}
UI_20150317_000248	{@st59}詳細查看{/}
UI_20150317_000249	請輸入數量。
UI_20150317_000250	{@st59}輸入內容。{/}
UI_20150317_000251	{@st41b}確認
UI_20150317_000252	{@st59}確認輸入內容。{/}
UI_20150317_000253	{@st41b}關閉
UI_20150317_000254	{@st59}取消輸入。{/}
UI_20150317_000255	{@st43}傳送點{/}
UI_20150317_000256	{@st59}關閉傳送點視窗。{/}
UI_20150317_000257	{@st59b}傳送點{nl}{@st59s} - 可以傳送至自己訪問過地區的系統。{nl} - 當傳送點有2個以上時，傳送點功能活性化。{nl}{/}
UI_20150317_000258	{@st41}目前位置：%s{/}
UI_20150317_000259	{@st43}{s22}傳送點{/}
UI_20150317_000260	{@st41b}您要移動到這個地區嗎？{/}
UI_20150317_000261	사울레이 어쩌고
UI_20150317_000262	消耗硬幣：0
UI_20150317_000263	序曲
UI_20150317_000264	{@st43}背包{/}
UI_20150317_000265	{@st59}關閉背包。{/}
UI_20150317_000266	{@st59b}穿戴裝備{nl}{@st59s} - 髮型/套裝：穿戴可變更外型道具。{nl} - 武器：可配戴單手裝備及雙手裝備。{nl}   (配戴單手裝備時，可配戴副武器/盾牌。 ){nl} - 防具：穿戴上衣、下衣、手套、鞋子。{nl} -飾品：配戴 1個項鍊、2個手環。{nl}{/}
UI_20150317_000267	{@st59}頭飾 1{/}
UI_20150317_000268	{@st59}頭飾 2{/}
UI_20150317_000269	{@st59}項鍊{/}
UI_20150317_000270	{@st59}套裝{/}
UI_20150317_000271	{@st59}上衣{/}
UI_20150317_000272	{@st59}手套{/}
UI_20150317_000273	{@st59}下衣{/}
UI_20150317_000274	{@st59}鞋子{/}
UI_20150317_000275	{@st59}左手{/}
UI_20150317_000276	{@st59}右手{/}
UI_20150317_000277	{@st59}手環 1{/}
UI_20150317_000278	{@st59}手環 2{/}
UI_20150317_000279	{@st59}臂環{/}
UI_20150317_000280	{@st59}檢索輸入的名稱。{/}
UI_20150317_000281	重量
UI_20150317_000282	{@st43}裝備BUFF{/}
UI_20150317_000283	{@st59}關備修理 UI。{/}
UI_20150317_000284	{@st42}BUFF可裝備目錄
UI_20150317_000285	{@st42}消耗道具{/}
UI_20150317_000286	{@st42}執行
UI_20150317_000287	{@st42}目標道具{/}
UI_20150317_000288	{@st59}戒指 1{/}
UI_20150317_000289	{@st43}道具製作{/}
UI_20150317_000290	{@st42b}只顯示有材料的{/}
UI_20150317_000291	{@st59}關閉道具製作。{/}
UI_20150317_000292	{@st43}{s22}分享道具
UI_20150317_000293	{@st59}請輸入數量。{/}
UI_20150317_000294	怪物體力量條
UI_20150317_000295	{@st44}獲得組合道具{/}
UI_20150317_000296	鍵盤戰士
UI_20150317_000297	擊殺
UI_20150317_000298	99分 99秒
UI_20150317_000299	38000 分
UI_20150317_000300	已提升的神速藥水
UI_20150317_000301	{@st41}確認{/}
UI_20150317_000302	{@st59b}冒險日誌{nl}{@st59s} - 自己的進行情報記錄在冒險日誌上。{nl} - 可以透過獲得道具、狩獵怪物、製作、地圖探險、進行內容來獲得冒險指數。{nl}    冒險指數：其它所有指數的總合。{nl}    成長：每個等級和每個職業等級 5點。{nl}    道具：裝備：等級 X 10點、書：10點、其它：1點{nl}    怪物：每個怪物10點 (BOSS：50點){nl}    地區探索：每10%1點{nl}    任務：每個任務 1點{nl}    成就：不同成就不同點數{nl}    製作法：每個 10點{nl}    圖鑑：卡片組 5點、完成 45點{nl} - 根據所獲得的冒險指數可以從村莊 NPC那裡獲得獎勵。{/}
UI_20150317_000303	{@sti7}{s22}{ds}冒險指數達成度{/}
UI_20150317_000304	{@st42b}{#22FF22}頂極 10% / %s點{/}
UI_20150317_000305	{@st42b}全體平均 /  %s點{/}
UI_20150317_000306	第1名 / %s點
UI_20150317_000307	第%s名
UI_20150317_000308	%s點
UI_20150317_000309	職業
UI_20150317_000310	隊伍
UI_20150317_000311	{@st59}關閉冒險日誌。{/}
UI_20150317_000312	{@st43}冒險日誌排名{/}
UI_20150317_000313	{@st43}{s22}排名
UI_20150317_000314	{@st43}{s22}名字
UI_20150317_000315	{@st43}{s22}點數
UI_20150317_000316	{@st41}詳細情報{/}
UI_20150317_000317	{@st43}開始製作{/}
UI_20150317_000318	{@st59}開始製作道具。{/}
UI_20150317_000319	{@st44}keypad{/}
UI_20150317_000320	{@st42}限制時間
UI_20150317_000321	{@st56}擊殺{/}
UI_20150317_000322	{@st56}屠殺{/}
UI_20150317_000323	{@st56}被攻擊{/}
UI_20150317_000324	{@st56}死亡{/}
UI_20150317_000325	咒語力
UI_20150317_000326	防禦力
UI_20150317_000327	魔法扺抗力
UI_20150317_000328	暴擊率
UI_20150317_000329	{@st43}鑲嵌槽管理{/}
UI_20150317_000330	{@st59}關閉鑲嵌槽管理。{/}
UI_20150317_000331	請放上道具。
UI_20150317_000332	潛力
UI_20150317_000333	新增鑲嵌槽費用：{#ff9933}%s{/}{nl}寶石萃取費用：{#ff9933}%s{/}
UI_20150317_000334	{@st41b}新增鑲嵌槽
UI_20150317_000335	{@st41b}萃取寶石
UI_20150317_000336	{@st41}製造{/}
UI_20150317_000337	{@st41}%s  %s 個
UI_20150317_000338	地區地圖
UI_20150317_000339	探勘率：95.5%
UI_20150317_000340	{@st45tw}探勘率 %s%{/}
UI_20150317_000341	{@st59}關閉地圖。(M){/}
UI_20150317_000342	{@st41}地圖{/}
UI_20150317_000343	Shift(清除)、Ctrl(中間填滿)
UI_20150317_000344	{ol}標題
UI_20150317_000345	{@st41}新增{/}
UI_20150317_000346	{@st41}刪除{/}
UI_20150317_000347	{@st41}儲存{/}
UI_20150317_000348	{@st41}自動{/}
UI_20150317_000349	{@st41}初始化{/}
UI_20150317_000350	{@st59}設定碎片的數量。{/}
UI_20150317_000351	{ol}群組
UI_20150317_000352	{ol}訊息
UI_20150317_000353	{ol}聲音
UI_20150317_000354	{@st41}迷你地圖製作{/}
UI_20150317_000355	{@st55}地區地圖
UI_20150317_000356	{@st43}{s22}市場{/}
UI_20150317_000357	{@st43}{s24}市場{/}
UI_20150317_000358	{@st42b}系列{/}
UI_20150317_000359	{@st42b}類型{/}
UI_20150317_000360	{@st42b}穿戴等級{/}
UI_20150317_000361	{@st42b}強化數值{/}
UI_20150317_000362	{@st42b}名稱
UI_20150317_000363	{@st41b}道具領取箱%s
UI_20150317_000364	{@st41b}登錄販賣
UI_20150317_000365	{@st41b}檢索
UI_20150317_000366	{@st59}關閉市場視窗。{/}
UI_20150317_000367	{@st42b}顯示順序
UI_20150317_000368	{@st41b}販賣中的道具
UI_20150317_000369	{@st43}{s22}道具領取箱
UI_20150317_000370	{@st41b}全部獲得
UI_20150317_000371	{@st41b}道具領取箱
UI_20150317_000372	{@st43}{s22}登錄販賣
UI_20150317_000373	{@st42b}數量
UI_20150317_000374	{@st42b}價格
UI_20150317_000375	{@st42b}販賣者非公開{/}
UI_20150317_000376	{@st41b}登錄
UI_20150317_000377	攻城戰硬幣
UI_20150317_000378	某人處置了某人。
UI_20150317_000379	{@st43}迷你遊戲{/}
UI_20150317_000380	{@st49}投石器發射{/}
UI_20150317_000381	{@st44}調節方向{/}
UI_20150317_000382	{@st44}發射{/}
UI_20150317_000383	迷你遊戲
UI_20150317_000384	{s18}{ol}{gr gradation1}冰塊 叮！迷你遊戲{/}
UI_20150317_000385	{s16}您要參與迷你遊戲嗎？
UI_20150317_000386	{s16}參加人數：(0/5)
UI_20150317_000387	{s16}參加人數：(%s/%s)
UI_20150317_000388	{s16}1秒後遊戲開始。
UI_20150317_000389	{s16}%s秒後遊戲開始。
UI_20150317_000390	{@st59}放大{/}
UI_20150317_000391	{@st59}縮小{/}
UI_20150317_000392	{@st59}地圖 (M){/}
UI_20150317_000393	{@st42b}地區地圖
UI_20150317_000394	{@st44}道具合成機{/}
UI_20150317_000395	{s16}{#FFcc66}{ol}請選擇要製作的道具。{/}{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}請將材料道具拖曳至欄位。
UI_20150317_000397	{@st42}製作{/}
UI_20150317_000398	{@st42}取消{/}
UI_20150317_000399	%s的情報
UI_20150317_000400	케파라던가
UI_20150317_000401	{@st41}{詳細情報}
UI_20150317_000402	{s20}{#050505}怪物說明內容 怪物說明內容 怪物說明內容 怪物說明內容
UI_20150317_000403	{@st41} 擊殺 {/}
UI_20150317_000404	{@st41} 屠殺 {/}
UI_20150317_000405	{@st41} 一般擊殺 {/}
UI_20150317_000406	{@st41} 地區 {/}
UI_20150317_000407	{@st41} 道具 {/}
UI_20150317_000408	{@st41} 成就 {/}
UI_20150317_000409	對象
UI_20150317_000410	{@st43}死靈之書{/}
UI_20150317_000411	{@st59}關閉死靈之書 UI。{/}
UI_20150317_000412	{@st59}我什麼想法也沒有，因為我沒有想法。{/}
UI_20150317_000413	召喚體：{#ffcc33}%s{/}
UI_20150317_000414	不死鷹身女妖
UI_20150317_000415	技能：%s
UI_20150317_000416	技能1、技能2
UI_20150317_000417	需要碎片：%s
UI_20150317_000418	野獸 60 / 昆蟲 20 / 變異 10
UI_20150317_000419	碎片的數量
UI_20150317_000420	零件1
UI_20150317_000421	零件2
UI_20150317_000422	零件3
UI_20150317_000423	恭喜你！升級了。
UI_20150317_000424	道具通知
UI_20150317_000425	{@st64}內容{/}
UI_20150317_000426	製造新手教學
UI_20150317_000427	{@st42b}角色往上下左右4個方向移動。{/}
UI_20150317_000428	{@st42b}角色進行基本攻擊。{/}
UI_20150317_000429	{@st42b}角色在原地或是移動時跳躍。{/}
UI_20150317_000430	{@st42b}同時點擊相鄰的2個方向鍵時，會移動至對角線。{/}
UI_20150317_000431	地圖霧化工具
UI_20150317_000432	怪物處死工具
UI_20150317_000433	迷你地圖製作工具
UI_20150317_000434	對話工具
UI_20150317_000435	{@st43}設定營運者{/}
UI_20150317_000436	{@st59}關閉組隊情報。{/}
UI_20150317_000437	{@st59b}組隊情報{nl}{@st59s} - 點擊下方的組隊建立按鍵可以自行建立組隊。{nl} - 在其他玩家的角色上方點擊滑鼠右鍵可以進行組隊邀請。{nl} - 在設定分頁上可隨時調整目前組隊的各種設定。{nl} - 透過組隊目錄邀請組隊成員時在公開項目設定條件。{/}
UI_20150317_000438	{@st43}組隊情報{/}
UI_20150317_000439	{@st41b}組成{/}
UI_20150317_000440	{@st41b}組隊活動{/}
UI_20150317_000441	{@st41b}設定{/}
UI_20150317_000442	{@st41}隊員{/}
UI_20150317_000443	{@st41}組隊加入條件
UI_20150317_000444	{@st41b}公開
UI_20150317_000445	{@st41b}非公開
UI_20150317_000446	希望等級                                 ~
UI_20150317_000447	{@st41}道具分配規則
UI_20150317_000448	{@st41b}各自獲得
UI_20150317_000449	{@st41b}依序獲得
UI_20150317_000450	{@st41b}隨機分配
UI_20150317_000451	{@st41}經驗值分配規則
UI_20150317_000452	{@st41b}各自獲得
UI_20150317_000453	{@st41b}平均分配
UI_20150317_000454	{@st41b}等級差
UI_20150317_000455	{@st41}任務共有
UI_20150317_000456	{@st41b}使用
UI_20150317_000457	{@st41b}不使用
UI_20150317_000458	{@st41b}建立組隊
UI_20150317_000459	{@st43}公開組隊目錄{/}
UI_20150317_000460	{@st59b}公開組隊目錄{nl}{@st59s} - 確認伺服器內公開的組隊目錄，加入想要加入的組隊。{nl} - 使用檢索選項，可檢索想要條件的組隊。{/}
UI_20150317_000461	{@st59}關閉組隊目錄。{/}
UI_20150317_000462	使用檢索選項
UI_20150317_000463	任務共有
UI_20150317_000464	經驗值分配規則
UI_20150317_000465	道具分配規則
UI_20150317_000466	{@st43}邀請
UI_20150317_000467	{@st41b}邀請{/}
UI_20150317_000468	{s18}{ol}{gr gradation1}登出 PC 規則{/}
UI_20150317_000469	{ol}規則套用條件
UI_20150317_000470	{ol}規則套用動作
UI_20150317_000471	輸入規則名稱。
UI_20150317_000472	{gr gradation1}登錄{/}
UI_20150317_000473	登錄規則。
UI_20150317_000474	{gr gradation1}取消{/}
UI_20150317_000475	取消作業。
UI_20150317_000476	{@st43}寵物情報
UI_20150317_000477	{@st59b}寵物情報{nl}{@st59s} - 利用休眠/活動按鍵可以放入或是取出寵物。{nl} - 可利用寵物的特性、道具穿戴訂做寵物。{/}
UI_20150317_000478	{@st59}關閉寵物情報。{/}
UI_20150317_000479	{@st41b}名字：{@sti9}%s{/}
UI_20150317_000480	和{@sti9}%s{@st41b}的親密度：{@sti9}%s {@st41b}等級{/}
UI_20150317_000481	{@st41b}經驗值{/}
UI_20150317_000482	{@st41b}耐力{/}
UI_20150317_000483	{@st41b}親密度{/}
UI_20150317_000484	{@st41b}特性及情報
UI_20150317_000485	{@st43}寵物{/}
UI_20150317_000486	{@st59b}寵物{nl}{@st59s} - 在目錄上點擊想要的項目可查看詳細情報。{/}
UI_20150317_000487	{@st59}關閉寵物。{/}
UI_20150317_000488	{@st59}關閉小幫手視窗。{/}
UI_20150317_000489	{@st59}小幫手{nl} - 詳細查看小幫手{nl} - 如果要查看其它項目可在小幫手目錄上選擇。{/}
UI_20150317_000490	{@st43}小幫手{/}
UI_20150317_000491	小幫手標題
UI_20150317_000492	{ol}{#AAAA00}{s16}進行時間：%s
UI_20150317_000493	{@st43}毒藥水{/}
UI_20150317_000494	{@st59}關閉毒藥水 UI。{/}
UI_20150317_000495	{@st59}需要編制{/}
UI_20150317_000496	毒量：%s
UI_20150317_000497	可以使用在製毒的道具
UI_20150317_000498	全選
UI_20150317_000499	再點擊一次取消全選
UI_20150317_000500	製造
UI_20150317_000501	混合又混合攪拌再混合
UI_20150317_000502	{@st43}項目{/}
UI_20150317_000503	{@st43}我{/}
UI_20150317_000504	{@st43}對象{/}
UI_20150317_000505	{@st43}等級{/}
UI_20150317_000506	{@st43}持有金額{/}
UI_20150317_000507	{@st43}等級{/}
UI_20150317_000508	{@st43}PvP勝率{/}
UI_20150317_000509	{@st59}關閉視窗。{/}
UI_20150317_000510	{@sti5}總購買金額：%s{/}
UI_20150317_000511	{@sti5}總金額：%s{/}
UI_20150317_000512	{@st41b}購買
UI_20150317_000513	{@st43}獲得製作道具材料！
UI_20150317_000514	{@st43}巨作{/}
UI_20150317_000515	{@st41}全部刪除
UI_20150317_000516	{@st42}鍊金對象 {@stx1}(%s 需要){/}
UI_20150317_000517	{@st41}合成
UI_20150317_000518	{@st43}任務{/}
UI_20150317_000519	{@st59b}任務{nl}{@st59s} - 獲得任務時會登錄在任務指數。{nl} - 主線任務顯示黃色、支線任務顯示藍色。{nl} - 以角色腳底的箭頭顯示任務位置。{nl} - 完成任務時會在任務提示上顯示返回圖示。{nl}  (點擊空白鍵或是滑鼠會瞬間移動至完成NPC身邊。){nl} - 在任務提示上登錄/解除時，可勾選任務名稱。{/}
UI_20150317_000520	{@st41b}  進行  {/}
UI_20150317_000521	{@st41b}  放棄  {/}
UI_20150317_000522	{@st43}{s22}任務情報{/}
UI_20150317_000523	任務完成
UI_20150317_000524	{@st41}完成{/}
UI_20150317_000525	任務進行情報
UI_20150317_000526	{s18}{ol}任務情報
UI_20150317_000527	{s16}剩餘時間
UI_20150317_000528	使用任務道具
UI_20150317_000529	任務提示
UI_20150317_000530	{@st41}確認{/}
UI_20150317_000531	{@st43}{s22}完成任務{/}
UI_20150317_000532	{@st41b}完成{/}
UI_20150317_000533	{@st41}接受{/}
UI_20150317_000534	{@st41}拒絕{/}
