QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000021	從巨大樹木長出來的那天起，這片森林就變得很恐怖。{nl}特別是樹根水晶連看著都讓人毛骨悚然。
QUEST_LV_0200_20150317_000022	意志的貓頭鷹雕像
QUEST_LV_0200_20150317_000023	好像又有誰被吃掉了。{nl}又少了一個同伴的氣息。
QUEST_LV_0200_20150317_000024	女神賜給我的神聖力已經沒剩多少了。{nl}被摧毀後會變成什麼樣子呢？{nl}
QUEST_LV_0200_20150317_000025	這是隊長大人分給我們的力量。{nl}現在不用害怕了。
QUEST_LV_0200_20150317_000026	再也不用害怕了。{nl}絕對不會被抓去吃掉的。
QUEST_LV_0200_20150317_000027	痛苦的貓頭鷹雕像
QUEST_LV_0200_20150317_000028	每天都過得好痛苦。{nl}我應該也很快就會被抓去吃掉。
QUEST_LV_0200_20150317_000029	邪惡氣息漸漸滲透進森林。{nl}女神殿下到底去了哪裡呢？
QUEST_LV_0200_20150317_000030	已順利收到隊長大人的心意了。{nl}會打起精神努力不輸給怪物。
QUEST_LV_0200_20150317_000031	隊長大人如此用心…{nl}在女神殿下回來之前絕對不會被抓去吃掉的。
QUEST_LV_0200_20150317_000032	部下貓頭鷹3
QUEST_LV_0200_20150317_000033	雖然我們總是在這個地方，但擔心我們的女神殿下在哪裡呢？
QUEST_LV_0200_20150317_000034	我們只是為了人類的靈魂而存在的嗎？
QUEST_LV_0200_20150317_000035	士兵 杜米尼克
QUEST_LV_0200_20150317_000036	上頭同時下達了死守崗位及進行搜查的命令。{nl}不懂到底是要我們做什麼才對。
QUEST_LV_0200_20150317_000037	下次什麼命令都好，但一定要跟他們說要確定我們是屬於哪一隊的。{nl}不對。朱利安那邊比較好嗎？
QUEST_LV_0200_20150317_000038	這種程度的怪物應該沒什麼問題，可以直接呈報。{nl}對了，如果你有看到山姆森，請幫我跟他說不要再玩了好好進行搜查。
QUEST_LV_0200_20150317_000039	我會守在這裡，你去貝爾圖伊交叉路搜查吧。{nl}我之後再一個一個回報。
QUEST_LV_0200_20150317_000040	士兵 山姆森
QUEST_LV_0200_20150317_000041	請幫我找出杜米尼克的訂婚戒指。{nl}因為我現在在執行公務無法離開位置。
QUEST_LV_0200_20150317_000042	已經買了跟原本很像的給她還這樣？{nl}真小氣。
QUEST_LV_0200_20150317_000043	這髒東西是什麼？{nl}哎呀，裡面會有戒指嗎？
QUEST_LV_0200_20150317_000044	刀子也砍不進去，不知道要怎麼拿出來。{nl}對了。用火燒開的話會不會就拿得出來了？
QUEST_LV_0200_20150317_000045	既然如此，請幫我拿不那麼厚的東西來。
QUEST_LV_0200_20150317_000046	這種的就可以了。{nl}很好。該怎麼在執行公務中燒它還能不被發現呢。
QUEST_LV_0200_20150317_000047	伊薛希奈堤懸崖上長滿了乾掉的荊棘樹。{nl}我因為警戒任務的關係無法離開位置，這次也麻煩你囉。
QUEST_LV_0200_20150317_000048	啊，如果是在伊薛希奈堤懸崖上的話，就能偷偷燒了。{nl}這是我最後的請求。只要做好點火的準備就行了。
QUEST_LV_0200_20150317_000049	絕對不會再去干涉別人的婚禮。
QUEST_LV_0200_20150317_000050	就說要去廁所然後偷偷燒掉吧。{nl}真是太感謝你了。
QUEST_LV_0200_20150317_000051	士兵 福爾特
QUEST_LV_0200_20150317_000052	天吶，命運書上寫著要我消滅這附近的怪物呢。{nl}我一個人怎麼能辦得到呢？
QUEST_LV_0200_20150317_000053	我一個人真的太吃力了。{nl}但好險有你的幫忙。
QUEST_LV_0200_20150317_000054	真的感動得要落淚了。{nl}謝謝你的幫忙。
QUEST_LV_0200_20150317_000055	指揮官 朱利安
QUEST_LV_0200_20150317_000056	真是多謝。{nl}如果你不介意的話，我還想再借用你一點力量。{nl}
QUEST_LV_0200_20150317_000057	你能不能去貝爾圖伊交叉路上支援指揮官歐路克的部隊呢？
QUEST_LV_0200_20150317_000058	指揮官 歐路克
QUEST_LV_0200_20150317_000059	真是非凡的實力。{nl}我要請朱利安喝一杯了。
QUEST_LV_0200_20150317_000060	這是我在看著鋼鐵巴溫時突然想到的。{nl}這位朋友真的很了不起。
QUEST_LV_0200_20150317_000061	歐路克部隊在經歷了與鋼鐵巴溫的大小戰役後已精疲力盡。{nl}如果你能成為他們的力量，將會堅不可摧。
QUEST_LV_0200_20150317_000062	離開的貓頭鷹雕像
QUEST_LV_0200_20150317_000063	雖然想幫忙淨化荊棘林的士兵，但很可惜的是我沒有那樣的力量。{nl}能夠至少幫忙消滅令士兵頭疼的樹精庫爾嗎？
QUEST_LV_0200_20150317_000064	如果能像以前一樣，往返這條路上的人能越來越多就好了。{nl}因為人們真的很有趣呢。
QUEST_LV_0200_20150317_000065	謝謝。因為我的期望讓你受苦了呢。
QUEST_LV_0200_20150317_000066	很好。在尼爾羅斯街道上失去了我們隊員們的消息。{nl}請幫我找出他們。
QUEST_LV_0200_20150317_000067	怎麼找都找不到他們的話，就請先回來吧。
QUEST_LV_0200_20150317_000068	士兵 卡爾路斯
QUEST_LV_0200_20150317_000069	還有很多同伴在裡面。{nl}請求支援。
QUEST_LV_0200_20150317_000070	士兵 戴伊紐斯
QUEST_LV_0200_20150317_000071	鋼鐵巴溫從德利耶查濕地內攻過來了。{nl}還有很多沒有逃出來的隊員。{nl}
QUEST_LV_0200_20150317_000072	一個人逃出來真是太羞愧了。{nl}
QUEST_LV_0200_20150317_000073	定居的貓頭鷹雕像
QUEST_LV_0200_20150317_000074	我有事想拜託你。{nl}士兵們為毒妖花所苦，我真的覺得很難過。
QUEST_LV_0200_20150317_000075	謝謝。{nl}現在士兵們能安心工作了吧？
QUEST_LV_0200_20150317_000076	謝謝你的溫暖相助。{nl}要是以後成為靈魂再次相見的話，一定會對你很好的。
QUEST_LV_0200_20150317_000077	你就是那位著名的啟示者嗎？{nl}雖然有點難以啟齒，不過真的很巧。我正需要你的幫忙。
QUEST_LV_0200_20150317_000078	啊，命令書總算來了。{nl}請回到指揮官朱利安的身邊。
QUEST_LV_0200_20150317_000079	我正在收集有關於鋼鐵巴溫的資訊。{nl}如果想要打通往大王關口的路，必須先消滅這個傢伙。
QUEST_LV_0200_20150317_000080	真是謝謝你告訴我。{nl}我先把它交給位於查伊茲達丘陵的福爾特後再回來。
QUEST_LV_0200_20150317_000081	真的很懷念從前啊。{nl}那時候可沒有像針刺樹木這種東西。
QUEST_LV_0200_20150317_000082	雖然通往大王關口的路變安全了，但也會讓很多人想來這裡玩。
QUEST_LV_0200_20150317_000083	這段漫長的時間裡看到太多奇怪的事物了。{nl}我現在只想看開心的東西。
QUEST_LV_0200_20150317_000084	人類的靈魂為什麼會有如此多的東西呢？
QUEST_LV_0200_20150317_000085	再這樣下去，就算出現一群怪物也還是無解。
QUEST_LV_0200_20150317_000086	我們正在打通往大王關口的道路。{nl}你有聽說後來鋼鐵巴溫變成怎麼樣了嗎？
QUEST_LV_0200_20150317_000087	要在一個團體中成為領導人，必須要堅定自己的原則。
QUEST_LV_0200_20150317_000088	要打通往大王關口的路的確是很盲目的事。{nl}但即使如此還是不能不遵從命令。
QUEST_LV_0200_20150317_000089	雖然兩個指揮官看起來關係不好，但卻意外的合作無間。
QUEST_LV_0200_20150317_000090	一個人都沒有好寂寞。{nl}真的好久沒看到人類了呢。
QUEST_LV_0200_20150317_000091	請問你在這空無一人的森林裡做什麼呢？{nl}該不會是重新把路打通了吧？
QUEST_LV_0200_20150317_000092	謝謝你。{nl}士兵們還有我的同伴們也能睡個安穩覺了。
QUEST_LV_0200_20150317_000093	手臂和腳都沒有感覺。{nl}也不覺得冷，感覺好奇怪。
QUEST_LV_0200_20150317_000094	一定要重創魔龍凱拉斯。{nl}如果不這麼做的話，我會氣到睡不著的。
QUEST_LV_0200_20150317_000095	馬上就要開始獵殺魔龍凱拉斯了。{nl}真是令人興奮。
QUEST_LV_0200_20150317_000096	那名為怨恨的東西真讓人難過。{nl}只能在旁邊看著也讓人很難過。
QUEST_LV_0200_20150317_000097	那些邪惡的存在來勢洶洶，會出現更多犧牲者吧。
QUEST_LV_0200_20150317_000098	聯合調查團普雷伊
QUEST_LV_0200_20150317_000099	我叫做普雷伊。{nl}我都聽說了，怎麼會… 狀況好像不太好？{nl}你和史考特調查出的內容…
QUEST_LV_0200_20150317_000100	{nl}那我也該在那邊做點什麼才行。{nl}你先幫我消滅赤紅布貝掠奪者。真是超不順的。
QUEST_LV_0200_20150317_000101	那就拜託你囉！{nl}我現在光看到紅色的會起雞皮疙瘩。
QUEST_LV_0200_20150317_000102	哎呀，真的要幫助我嗎？{nl}真是謝謝你！
QUEST_LV_0200_20150317_000103	這是在我聽史考特說完後想到的。{nl}聽說有個名為樹林妖精，活生生會動的木塊。{nl}我總覺得跟布貝們帶在身上的樹皮有點關連？
QUEST_LV_0200_20150317_000104	話說回來，史考特說好要把第2輪報告書送過來的，怎麼還沒有消息。{nl}我們可愛的史考特不會是出了什麼事了吧？嗯…
QUEST_LV_0200_20150317_000105	哇啊，還真厲害？{nl}我欠你一份人情。謝啦！
QUEST_LV_0200_20150317_000106	果然沒錯？那就拜託你囉。{nl}沿著左邊這條路走就會看到樹林妖精常出沒的鹿蹄空地。
QUEST_LV_0200_20150317_000107	要將這個碎片與史考特的資料組合後的結果告訴前輩。{nl}可是史考特說要給我們紙本報告書，怎麼過了這麼久還是沒有消息？{nl}雖然這是我聽來的，但從其他調查員那邊聽來的可信度是不是會降低？{nl}
QUEST_LV_0200_20150317_000108	你可以幫我帶回史考特的報告書嗎？{nl}別忘了偷懶可是會被罵的喔！
QUEST_LV_0200_20150317_000109	我們史考特的報告書就麻煩你啦。知道了嗎？{nl}雖然有時候傻傻的讓人很鬱悶，但這點也很可愛。
QUEST_LV_0200_20150317_000110	真是沒臉見你。聽說最近調查這調查那的到處跑來跑去…{nl}真的很謝謝你。如果沒有你的話，現在可能早就… {nl}哎唷，光用想的都很討厭。{nl}
QUEST_LV_0200_20150317_000111	哎呀，現在不是客套的時候了。{nl}不好意思，這份研究資料幫我帶給普雷伊。{nl}要把布貝們惹的禍都整理好才行，但不知道要從哪裡開始…
QUEST_LV_0200_20150317_000112	啊，是報告書！ {nl}對了，史考特說他在幹什麼？{nl}
QUEST_LV_0200_20150317_000113	是嗎？所以是連一個布貝都消滅不了在那邊手足無措的意思囉？{nl}還真丟臉… 我下次要好好說他一句！
QUEST_LV_0200_20150317_000114	全部都亂七八糟的。{nl}因為那該死的布貝，完全無法集中。{nl}要是普雷伊看到我這樣子一定會取笑我吧？
QUEST_LV_0200_20150317_000115	聯合調查團 普雷伊
QUEST_LV_0200_20150317_000116	要掌握案件的實情還早得很呢。要做得事也堆積如山。{nl}來，收下這個。是靈魂收集卷軸。{nl}
QUEST_LV_0200_20150317_000117	聽說在對赤紅布貝弓箭手使用完卷軸後，就會排出精神體了。{nl}把它收集好給我。那麼，資料大致上應該都整理好了。
QUEST_LV_0200_20150317_000118	不要忘記順序。{nl}要先對赤紅布貝弓箭手使用靈魂收集卷軸後才能消滅他。知道了嗎？
QUEST_LV_0200_20150317_000119	這是布貝們帶在身上的樹皮。{nl}好像能跟什麼心靈的東西結合…{nl}嗯，你去把這件事告訴優寇特。
QUEST_LV_0200_20150317_000120	聯合調查團 優寇特
QUEST_LV_0200_20150317_000121	普雷伊和史考特都很努力了。在你看來覺得如何？{nl}我覺得布貝們不可能做得出這種東西。{nl}要慢慢調查出他們到底打算用這個樹皮做什麼才行了。{nl}
QUEST_LV_0200_20150317_000122	說不定以前士兵們留下的補給品箱子裡有什麼東西也不一定。{nl}走到那上面，就有一些放了很久的補給品箱子。{nl}可以去幫我看一下嗎？加上在那裡找到的線索，感覺會得出不錯的結論。
QUEST_LV_0200_20150317_000123	重新回去走過的路，就會發現丘陵上方有監視塔。{nl}希望怪物還沒有侵略到那裡才好…
QUEST_LV_0200_20150317_000124	這些傢伙到底是在策畫些什麼呢？{nl}這個這個… 有不祥的預感，這感覺…
QUEST_LV_0200_20150317_000125	你說布貝們摧毀箱子後帶著這個逃跑了？{nl}為什麼呢？他們該不會真的在製作那個東西吧？{nl}不會的，哎呀，怎麼可能，布貝們才沒有這麼高的智能呢。{nl}
QUEST_LV_0200_20150317_000126	好！ 要打起精神來好好破解真相！!
QUEST_LV_0200_20150317_000127	很好。有做好覺悟了吧？{nl}
QUEST_LV_0200_20150317_000128	在你來到這裡之前，我有看到一群布貝們在到處跑。{nl}你去幫我查看一下凱貝奈絕壁的動態。
QUEST_LV_0200_20150317_000129	在這裡發生的事情，最後總會有布貝的存在。{nl}要說偶然，也太剛好了吧…
QUEST_LV_0200_20150317_000130	這，怎麼會… 終於把所有的線索都拼在一起了。{nl}這裡好像是工廠，樹精就是在這裡被創造出來的。{nl}
QUEST_LV_0200_20150317_000131	應該就是布貝們的旗幟把幽靈召喚出來的吧。{nl}被召喚出來的幽靈汙染了樹木，最後創造出巨大的怪物。{nl}
QUEST_LV_0200_20150317_000132	那個樹皮擺明了就是用來創造樹精的材料。{nl}這絕對不可能是布貝們能做出來的水準。{nl}一定是受到了誰的指使！
QUEST_LV_0200_20150317_000133	在布貝們聚集的地方，也許能發現什麼決定性的東西也不一定。{nl}是普雷伊看了會讚不絕口的景象呢！
QUEST_LV_0200_20150317_000134	因為布貝們不夠聰明，一定只會對他們下很簡單的命令。{nl}竟然想要唆使布貝… {nl}我真是傻眼到講不出話來了。{nl}
QUEST_LV_0200_20150317_000135	樹精一定是在很多地方被創造出來的。{nl}因為我有感受到濃郁的邪惡氣息。{nl}就算是創造出樹精的旗幟也要趕快催毀掉！
QUEST_LV_0200_20150317_000136	都準備好後就馬上出發。{nl}現在最重要的就是要讓他們不能再創造出樹精。
QUEST_LV_0200_20150317_000137	好像要先解救燃眉之急。{nl}雖然被創造出來的已經阻止不了了…
QUEST_LV_0200_20150317_000138	我感受到離這裡最近的旗幟就在喀貝斯街道附近。{nl}人類們目擊到的那像是大樹一樣的東西，應該就是樹精。{nl}我竟然看不出這麼簡單的東西，看來我還嫩得很呢。
QUEST_LV_0200_20150317_000139	老實的貓頭鷹隊長雕像
QUEST_LV_0200_20150317_000140	真的很謝謝你。{nl}多虧你，其他貓頭鷹也獲得了勇氣。
QUEST_LV_0200_20150317_000141	變弱的貓頭鷹雕像
QUEST_LV_0200_20150317_000142	已經太遲了。{nl}女神真是太殘酷了。
QUEST_LV_0200_20150317_000143	我還有最後的請求。{nl}可以幫我燒掉已離開世間的貓頭鷹們，送他們最後一程嗎？
QUEST_LV_0200_20150317_000144	我的同伴們能夠平安抵達奧施莉奈女神身邊嗎？
QUEST_LV_0200_20150317_000145	真的很謝謝你。{nl}請先幫我從通往紐歐德原野的路上帶回油箱。
QUEST_LV_0200_20150317_000146	如果你不介意的話，我想再借用你的力量。{nl}我派了傳令出去，但因為剛剛的襲擊讓我很擔心他。{nl}
QUEST_LV_0200_20150317_000147	希望傳令平安無事… 真讓人擔心啊。
QUEST_LV_0200_20150317_000148	真是多謝。{nl}現在這時候，他應該會在哭泣位子吧。
QUEST_LV_0200_20150317_000149	為了找回被怪物奪走的卡汀森林，配置了兵力呢。{nl}雖然卡汀森林入口還算安全，但其他地方還在收復中。{nl}
QUEST_LV_0200_20150317_000150	再加上我聽說越往深處走兵力就越不足，補給品質也越來越差。{nl}如果有像你一樣有名的人來幫助他們的話，一定會成為一大助力的。{nl}
QUEST_LV_0200_20150317_000151	暈倒的傳令
QUEST_LV_0200_20150317_000152	都是因為覺得卡汀森林入口很安全太過大意，是我的錯。{nl}我稍微休息一下後就回去營地。
QUEST_LV_0200_20150317_000153	啊，這是我的包包… 真的很感謝你出手相救。{nl}
QUEST_LV_0200_20150317_000154	雖然有點厚顏無恥，但現在能幫助我的人就只有你了。{nl}可以幫我跟費禮達十字路口的皮爾利克斯說已經開始作戰了嗎？{nl}{nl}
QUEST_LV_0200_20150317_000155	卡汀森林裡有很多別的森林裡沒有的東西。{nl}像是用樹木做成的貓頭鷹像。
QUEST_LV_0200_20150317_000156	作戰？真是的。真是愚蠢的傳令啊。{nl}從營地重新接收轉達就可以的東西…總之多謝啦。{nl}
QUEST_LV_0200_20150317_000157	對了，回去的路很黑，如果能重新點燃熄滅的營火，我會很感謝你。
QUEST_LV_0200_20150317_000158	因為卡汀森林太蔥鬱茂密了，陽光透不太進來。{nl}好像幽靈會跑出來一樣對吧。
QUEST_LV_0200_20150317_000159	對啊，傳令沒事吧？{nl}多虧有你，這裡也整理的差不多了。
QUEST_LV_0200_20150317_000160	我要在這裡稍微休息一下。{nl}沒有能躲一下的地方嗎？
QUEST_LV_0200_20150317_000161	薩爾提斯托竟然能夠溜進這裡，之後要向警戒負責人好好的興師問罪才行。{nl}總之謝啦 果然名不虛傳。{nl}
QUEST_LV_0200_20150317_000162	警備 兵萊爾
QUEST_LV_0200_20150317_000163	不久前，我在石化霜中失去許多同伴。{nl}沒想到有一名剛從密室中出現的時空法師邀我一起支援。怎麼會有這種沒效率的做法呢？{nl}而且還不知道凶暴的怪物什麼時候會突變攻擊這裡呢。
QUEST_LV_0200_20150317_000164	如果你願意，可以在我們保護這裡的時候幫忙消滅周圍的怪物嗎？
QUEST_LV_0200_20150317_000165	在這時代還得照顧那種不講理的女人，這真是件不幸的事啊。
QUEST_LV_0200_20150317_000166	謝謝你。應該能暫時安全一陣子吧。
QUEST_LV_0200_20150317_000167	不過幾週前，我們就有戰友被石化霜傷害。{nl}世界變成這樣之後連支援都不能順利到來，所以我們只能乾等。{nl}在這混亂之中，怪物正在攻擊被石化的受害者。這些傢伙真該被詛咒！
QUEST_LV_0200_20150317_000168	如果還有被變成石頭的同伴，你能暫時在身邊守護他們嗎？
QUEST_LV_0200_20150317_000169	我的老朋友凱倫也是那些受害者之一，{nl}請你一定要保護他。
QUEST_LV_0200_20150317_000170	真的很感謝你。還好支援很快就到了，雖然他已經變成那個樣子，但還是希望他能回到家人身邊。
QUEST_LV_0200_20150317_000171	露克立斯街道上有許多如其名該被詛咒的文件與尚未被掃除的物品。{nl}而且也有很多盜墓者覬覦那些物品而湧入這個都市。{nl}其中，成群的迪庫盜墓團集體攻擊警備兵的事也是家常便飯。
QUEST_LV_0200_20150317_000172	可以請你在軍事地區制伏那些傢伙嗎？{nl}要是你成功制伏，我們會去押送他們。
QUEST_LV_0200_20150317_000173	上次抓來的傢伙說石像找他們說話。{nl}這種辯解是不是太扯啦？
QUEST_LV_0200_20150317_000174	多虧有你，我才能押送大量盜墓者。{nl}謝謝你。
QUEST_LV_0200_20150317_000175	警備兵 諾瑪比斯
QUEST_LV_0200_20150317_000176	幾天前，我們的補給品被迪庫盜墓團的人給偷了。{nl}他們一定是把補給品帶到德拉薩禮拜堂廢墟去了，但我們不能離開這裡，這樣下去會餓死的。
QUEST_LV_0200_20150317_000177	你能幫忙找回被偷的補給品嗎？
QUEST_LV_0200_20150317_000178	數十年前，曾因盜墓者襲擊警備哨所以及偷偷挪用補給品而導致人們陷入恐慌。
QUEST_LV_0200_20150317_000179	那些傢伙在眼前誘騙我們，卻又在背後洗劫補給品，我們實在是束手無策。{nl}他們因要求合法拿走物品而被送上絞刑台了。
QUEST_LV_0200_20150317_000180	迪庫盜墓團的規模逐漸擴大，實在很令人擔心。{nl}不知道他們是馴服了怪物還是用了其他手段，跟怪物處得非常好。{nl}聽說不久前凱爾利斯騎士團遭受攻擊。{nl}也許他們的目標是莎比納。那個女人的每個口袋中都隨身裝著值錢的東西…
QUEST_LV_0200_20150317_000181	為了斷絕危險的源頭，只能在那些傢伙行動之前攻打他們。{nl}請前往德拉薩禮拜堂廢墟消滅他們。
QUEST_LV_0200_20150317_000182	數百年前滅亡的都市沒有需要守護的財產，也沒有需要保護的人命。{nl}反而覺得是在看守遺跡。說來可笑，正好也有盜墓者。
QUEST_LV_0200_20150317_000183	你已經狠狠地改掉他們的毛病啦。辛苦了。
QUEST_LV_0200_20150317_000184	幾週前，在這座城市工作的同伴被石化霜傷害，現在已經變成呆立在廣場上的石像了。{nl}被石化霜傷害的原因是，他在清除盜墓者所設下的陷阱時，因閃避不及所致。{nl}如今依然到處都是陷阱。我最近找到其中一個盜墓者，你能幫忙消滅他嗎？
QUEST_LV_0200_20150317_000185	迪庫盜墓團的數量也許比警備兵還要多。
QUEST_LV_0200_20150317_000186	你從那些傢伙的外部把怪物抓來啦。我很抱歉讓你身處險境。
QUEST_LV_0200_20150317_000187	時空法師 莎比納
QUEST_LV_0200_20150317_000188	這裡發生過許多事但實在太久遠，如果想查出真相就需要更多情報。{nl}可以請你在倒塌的凱旋門周圍尋找遺留的記錄品，並且把內容拓印下來嗎？
QUEST_LV_0200_20150317_000189	一切都被時間的洪流沖毀了。
QUEST_LV_0200_20150317_000190	謝謝你。從這內容看來，這是要塞沒落當時的內容。{nl}必須再找找更關鍵性的內容。
QUEST_LV_0200_20150317_000191	我正在此處進行各種實驗，但怪物害我難以找尋更久遠以前的事。{nl}可以請你替我窺視過去之後再來找我嗎？
QUEST_LV_0200_20150317_000192	請在佩魯可雷大道周圍使用這個時光放大鏡。這樣一來就能回顧過去的影像。
QUEST_LV_0200_20150317_000193	請小心使用後再還給我。這可是獨一無二的珍貴之物。
QUEST_LV_0200_20150317_000194	到底發生了什麼事呢？你可不能向外界透漏今天在這裡看到的一切。
QUEST_LV_0200_20150317_000195	如果想調查更詳細的事，就只能前往露克立斯的根據地─大地要塞。{nl}但目前因為王國軍限制出入的緣故而無法進入。{nl}我有一個好辦法…
QUEST_LV_0200_20150317_000196	這個地方有個敗兵從大地要塞逃跑時使用的傳點。{nl}根據記錄，有傳點的地方共有十處。{nl}而這裡則有四處。你能去調查那些傳點是否還在運作嗎？
QUEST_LV_0200_20150317_000197	我們所進行的計劃有可能會害我們被吊上絞刑台。{nl}請你務必保密。
QUEST_LV_0200_20150317_000198	軍事地區的傳點是唯一的希望。
QUEST_LV_0200_20150317_000199	獵人 塔洛斯
QUEST_LV_0200_20150317_000200	我正在尋找建立星之塔的利迪亞夏班的行蹤。{nl}我指的是射箭刺穿露克立斯心臟的那位名弓箭手─利迪亞夏班。
QUEST_LV_0200_20150317_000201	王國軍 蕾堤亞
QUEST_LV_0200_20150317_000202	由於數百年前露克立斯的叛變而產生的石化霜詛咒，如你所見，這裡已經變成一無是處的荒地。
QUEST_LV_0200_20150317_000203	由於凱爾利斯騎士團的請求，我會讓你通過，但希望你能待在我們視線所及的地方。
QUEST_LV_0200_20150317_000204	4年前的神樹之日以後，巴納斯被任命為此區王國軍的統帥。{nl}巴納斯下令把通往大地要塞的路整平。
QUEST_LV_0200_20150317_000205	如果你沒有其他急事要辦，請幫忙消滅A區的怪物。{nl}那是為女神與王國奉獻的第一步…{nl}我保證會給你適當的獎勵。
QUEST_LV_0200_20150317_000206	600年前，惡毒的叛亂軍首領露克立斯與此地的市民，不顧偉大的宰相普立米爾艾米諾特的仁政{nl}犯下了惡行，而造就了這個地方。
QUEST_LV_0200_20150317_000207	真是不錯。也許會是個可用的警備兵。
QUEST_LV_0200_20150317_000208	4年前的神樹之日以後，石化霜的發生週期變得很不規律。{nl}由於不規律的石化霜，我們在這片荒地上失去了大量兵力。{nl}之後我們用限定的方式在這痛苦廣場中設置石化探測器，藉此記錄週期來撤離兵力。
QUEST_LV_0200_20150317_000209	如果你願意為王國盡忠並接受王國的意旨，請幫忙確認石化探測器。
QUEST_LV_0200_20150317_000210	有怪物正盯著檢查探測器的士兵。請你一定要小心。
QUEST_LV_0200_20150317_000211	預計石化霜將會出現在兩個地方。{nl}聽說你是滿有名氣的啟示者。{nl}不是嗎？
QUEST_LV_0200_20150317_000212	在幾個月前襲擊檢查探測器的士兵的怪物出現了。{nl}根據倖存的士兵們的說法，那個怪物是一種巨大的鳥。{nl}我翻查王室圖鑑後，發現牠看起來跟斯帕娜史霍非常相像。
QUEST_LV_0200_20150317_000213	如果你是啟示者，應該足以與之抗衡。{nl}但你不能在A區跟牠交戰。因為疲累的兵力可能會被捲入。
QUEST_LV_0200_20150317_000214	石化霜已經開始在A區形成，請使用此吸收卷軸暫時將之清除。{nl}這麼一來，斯帕娜史霍就會從即將形成的石化霜移動至B區。
QUEST_LV_0200_20150317_000215	這些警備兵的生命遭受石化霜與斯帕娜史的威脅。{nl}現在他們已經被恐懼蒙蔽雙眼，所以盡可能別讓他們戰鬥，因為不會有勝算。
QUEST_LV_0200_20150317_000216	石化霜只不過是暫時消失罷了。{nl}不管我們怎麼做都無法抵擋露克立斯所召喚的天譴。
QUEST_LV_0200_20150317_000217	你準備好了嗎？現在必須消滅斯帕娜史霍，{nl}但時間不多。無論你是多偉大的啟示者，一旦暴露在石化霜面前就完蛋了。{nl}請前往B區。像我們這樣觸摸探測器，斯帕娜史霍就會襲擊而來。{nl}請消滅他，並在石化霜開始之前盡速脫離。
QUEST_LV_0200_20150317_000218	四處逃竄也不嘗是個好辦法。{nl}但總不能一直逃下去。{nl}既然有像你這樣厲害、忠誠度又高的支援者在，就必須把這件事做個了結。
QUEST_LV_0200_20150317_000219	沒想到你居然把那些傢伙消滅掉了，這是我數年來聽到的消息中最充滿希望的事。{nl}讓兵力稍作休息後，我得馬上去報告這件事。
QUEST_LV_0200_20150317_000220	如果在這裡遇到人，我一定會拜託他幫忙一件事。{nl}可以請你幫我們清掃作業場嗎？我所去的每個地方都會有怪物冒出來，害我不能好好做事。{nl}膽小的王國軍根本不敢出現在這附近，所以你不用擔心。{nl怎麼樣？能幫忙嗎？
QUEST_LV_0200_20150317_000221	就算你問我進行的是什麼作業，但我總不能把商業機密告訴你啊…{nl}反正那些東西又沒有主人，就讓有需要的人拿走嘛。
QUEST_LV_0200_20150317_000222	這麼快啊？有沒有漏網之魚呢？
